 FDIC Cert, Institution Name, Bank Holding Company, Total Assets, Cash and due from depository institutions, Interest-Bearing bank balances, Loan Loss Allowance, Net Income,  Percent Net Loans Charged-off:Construction & development,  Percent Net Loans Charged-off: Commercial real estate,  Percent Net Loans Charged-off: Multi-family residential,  Percent Net Loans Charged-off: 1-4 family residential,  Percent Net Loans Charged-off: Home equity loans,  All other 1-4 family - Percent of loans charged-off,  Percent Net Loans Charged-off: Commercial and industrial,  Percent Net Loans Charged-off: Loans to individuals,  Percent Net Loans Charged-off: Credit card loans,  Percent Net Loans Charged-off: Other loans to individuals,  Percent Net Loans Charged-off:Coml. RE not secured by RE, Net Loans, All real estate loans,  Farm loans,  Commercial and industrial loans,  Loans to individuals, All Other Loans and Leases,  Noncurrent loans to loans,  Percent Loans Noncurrent: Commercial real estate,  Percent Loans Noncurrent: Multifamily residential,  Percent Loans Noncurrent: 1-4 family residential,  Percent Loans Noncurrent: Home equity loans,  Percent of loans noncurrent - All other family,  Percent Loans noncurrent:Commercial and industrial loans,  Percent Loans Noncurrent: Loans to individuals,  Percent Loans Noncurrent: Credit card loans,  Percent Loans Noncurrent: Other loans to individuals,  Percent Loans Noncurrent:Commercial RE not secured by RE, Tier 1 leverage ratio, Tier 1 Risk-Based ratio, Total risk-based ratio, Yield on Earnings Assets, Efficiency Ratio, Non-Interest Income to Average Assets, Net charge-offs to loans and leases
34617,"State Farm Bank, F.S.B.",STATE FARM MUTUAL AUTOMOBILE INS,16224405,202565,160660,155200,23774,,0.104461768345042,0,-0.268122321054394,-0.817842089569916,-0.214697900849432,3.49151930710935,1.83149987460812,5.18248074519959,0.837661948273527,,10073021,3795014,0,138186,6295021,0,1.05455288852284,1.61683621961637,0,1.30537364054235,1.47178372246904,1.28929368043322,0.976220456486185,0.895517266741445,1.53549872800329,0.700176614777005,,11.4494746063088,NA,19.5994984245436,4.6787788893654,71.3724729723178,0.600739518871607,1.09767635071875
5490,State Nebraska Bank & Trust,STATE NATIONAL BANCSHARES INC,157574,8704,4653,1620,1057,0,0,0,0,0,0,0,0.427046263345196,,0.427046263345196,,94350,52968,21170,17208,3285,1339,2.2809211211837,0,0,0,0,0,4.4746629474663,11.2024353120244,,11.2024353120244,,12.8119905470813,NA,19.7126677470456,4.66849344874244,50.3295178633368,0.500169888928518,0.14091560605799
8162,State Savings Bank,CENTRAL-STATE BCORP INC,209055,11442,6108,1092,-232,0,-8.71225596608028E-03,0,0.164158686730506,0,0.209194134238107,0,0.596777402029043,,0.596777402029043,,164748,145437,205,18339,1828,31,0.73082489146165,0.329916587127028,0,1.15406738382837,0,1.47106999672402,0,0,,0,,11.4273158387823,NA,15.6997171450678,4.44959865077989,107.744328097731,0.489632509343116,8.74087670993401E-02
248,State Savings Bank,SSB HOLDING CO INC,146966,16040,11401,1960,878,0,0,0,0,0,0,-1.43833153541891E-02,0,,0,0,116291,93557,7398,14923,949,1424,0.299363218915696,0,0,1.23396542108199,0.183861082737487,1.45000630437524,0,0,,0,0,9.79487250134318,NA,12.9465643833814,5.11972098638467,66.9162210338681,0.375847737747965,-8.39257089624265E-03
8513,State Savings Bank,RAKE BCORP,74720,5858,4516,1602,96,,0,0,0,,0,0,0,,0,,64713,27714,29326,8667,567,41,5.64879740631833,0.635075720566683,0,0,,0,2.6306680512288,0,,0,,11.3810136003789,NA,13.4719238139481,5.03992934162588,36.5933170334148,8.24756896253564E-02,0.209405016615833
14773,State Savings Bank,BEDFORD BCORP INC,118930,3773,1291,1347,1173,,0,0,4.72162108990754E-02,0,5.02127066043657E-02,-0.196914998359042,-0.149290868375218,,-0.149290868375218,,109095,70774,20713,12167,5860,928,2.40578765324786,0,0,0.282737518881444,0,0.30161550221047,1.22462398290458,0,,0,,9.48492724795868,NA,12.1663604797676,5.15201916813995,47.9387514723204,0.381970120707006,4.55121942339084E-02
14857,State Street Bank and Trust Company,BACKLUND INVESTMENT CO,226083,9938,8691,1301,1623,0,0,0,0,0,0,0,0.1104762138574,-0.749531542785759,0.119010723362053,,165438,96619,6244,8170,55627,79,6.77705875649968E-02,0,0,0,0,0,0,0.203138763550075,0.183150183150183,0.203336903832538,,8.9599743949928,NA,12.9347085666749,4.36740040961677,66.9597069597069,1.12556624193872,3.66702589938903E-02
14,State Street Bank and Trust Company,STATE STREET CORP,238122000,65510000,62047000,72000,1135000,,0,0,,,,0,0,,0,,25474000,1164000,0,4463000,125000,19794000,2.34870429812887E-02,0,0,,,,0,0,,0,,8.42901791483394,NA,17.3606137195143,2.25226866997654,72.0569446979376,3.36028713219685,0
58127,STC Capital Bank,STC BANCSHARES CORP,274521,56961,49710,2289,335,-0.708291300895023,0,0,0,0,0,0,0,,0,,188219,178514,0,11538,580,4,0.541873213208487,0,2.99470324595953,1.6439877811719,8.77296976882039,0,0,0,,0,,10.8435388278578,NA,15.6527740538823,4.82223765795964,76.2126704643535,0.318656620936223,1.31021763187016
10160,Stearns Bank Holdingford National Association,STEARNS FINL SERVICES EMPLOYEE STK OWNERSHIP PLAN,97021,598,9,1325,387,0,0,0,0,0,0,0.617325306509193,0,,0,,78094,5374,393,73393,259,0,0.562837608129037,0,0,29.0605095541401,0,42.0506912442396,0.111727276443258,0,,0,,16.8777492084405,NA,20.3569409868793,4.67198539130179,31.0390469887492,2.39666210332519E-02,0.522829794256794
10988,Stearns Bank National Association,STEARNS FINL SERVICES EMPLOYEE STK OWNERSHIP PLAN,2252763,192570,182532,65814,24823,-3.95033694911088E-02,-0.310611204862208,0,-0.01047632350887,0,-1.37167939280326E-02,0.948805291755807,0.431122972695545,,0.431122972695545,0,1989676,507481,5393,1414368,3163,125085,2.42200156653645,9.63335537965907,0,1.36380488321593,0.865451188552966,1.51223535881221,1.6695089255413,0.758773316471704,,0.758773316471704,0,20.5772213801215,NA,21.4191252843711,8.10495079403179,50.2619061264256,1.77094667095706,0.663836497865729
9336,Stearns Bank Upsala National Association,STEARNS FINL SERVICES EMPLOYEE STK OWNERSHIP PLAN,78342,509,7,921,400,0,0,0,0,0,0,0.48269725374517,0,,0,,60365,4562,84,56528,111,1,0.956172698495578,0,0,38.0774032459426,0,46.4231354642314,0.451103877724314,0,,0,,16.1506543249282,NA,19.9713285958719,4.63154389421543,33.5593220338983,0.046514385257676,0.406317509710205
57813,Sterling Bank,STERLING BANCSHARES INC,1239855,119399,110982,10667,8107,0,0,0,0,0,0,0,3.06766055045872,,3.06766055045872,0,975184,359105,4527,499076,7537,115606,0.426636479549141,2.65127940679624,0,0.642230868035518,0.657894736842105,0.641390267344017,0,0,,0,0,11.0168584646285,NA,14.4568935417098,5.10502935696359,49.5902025435704,0.162832721393428,2.20548375327988E-02
6195,Sterling Bank,NORTHWEST WISCONSIN BCORP INC,241611,17157,13677,1732,1726,0,0,0,0,0,0,0,0,,0,,163532,142172,3464,12851,1021,5756,0.315858263142608,0.407882389740382,0,0,0,0,1.52517313827718,0,,0,,8.99425120009318,NA,13.427858465289,4.52901426827121,61.4376321353066,0.383929263941674,0
32232,"Sterling Bank and Trust, FSB",STERLING BCORP INC,3281148,80736,69964,20918,31335,-3.42482043476193E-03,-5.90070297041388E-02,-3.83952901777382E-02,-1.0284540265887E-03,-3.52562690053325E-02,-7.18455225471207E-04,8.65219172470299,0,,0,,2927379,2944369,0,3893,30,5,0.227148079043597,3.28314499024906E-02,0,0.259748684257831,0,0.262073745746279,0,0,,0,,9.88333908542372,NA,17.7159662082478,5.61377362938797,37.6273104488872,0.361675093666906,6.66813940312441E-03
27664,"Sterling Federal Bank, F.S.B.",,453701,8882,5904,2271,-110,0.208840932822833,0,0,-1.12229846726095E-02,0,-1.15393491807062E-02,-1.01255569056298E-02,0.165425971877585,,0.165425971877585,,224286,185998,15072,23129,2358,0,1.65830232568404,0,2.44166584621443,1.91224230164437,2.52792475014697,1.89523430585217,0.549094210731117,0.636132315521628,,0.636132315521628,,8.59549025847425,NA,16.0127859496445,3.83785614086006,93.4688346883469,0.564837755098318,7.96457746543343E-02
30337,Sterling National Bank,STERLING BCORP,30183934,349306,151483,104664,208391,0,-1.66013597461104E-02,-4.62667409198337E-03,0.100000627659405,-5.87421517505587E-02,0.107545100006727,0.424469550377488,0.313734603764815,,0.313734603764815,-3.11618703354575E-03,20292863,12862567,0,5243874,10688,2280398,0.944462532149118,0.497751782557629,0.120715373798671,2.87766092397637,8.45479253239863,2.56914900465879,1.52053615323328,2.80688622754491E-02,,2.80688622754491E-02,0,9.97638412276546,NA,13.9365791845622,4.58788891664649,41.9259359550794,0.404627507059801,0.124353839902884
